Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C3, C4",0402,4,1uf 0201, 
"C11, C13, C14, C15, C18, C5, C6, C7, C8",0402,9,100nf 0201, 
"C19, C2",0402,2,22pf 0402, 
D1,D_SOD-523,1,SOD-523 General,
FLASH1,SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,1,W25Q16JVUXIQ,
GPIO25_LED1,0402,1,LED 0201, 
"GPIO25_RESISTOR1, R1, R7",0402,3,1K 0201, 
"J1, J2",SW_SPST_CK_KXT3,2,Button, 
R101,0402,1,5.6k 0201,
"R102, R2",0402,2,10k 0201,
"R3, R4",0402,2,27r 0201, 
"R5, R6",0402,2,5.1K 0201, 
"TP1, TP101, TP103, TP2",CustomTestPoint,4,TestPoint, 
U1,SOT-23,1,ZL6201A33S3,
U2,Elite-C,1,Elite-C,
U3,RP2040-QFN-56,1,RP2040, C2040
USB2,HRO-TYPE-C-31-M-12,1,HRO-TYPE-C-31-M-12,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,3225-4P 12MHz, 
